MITRE ATT&CK Tactic,MITRE ATT&CK Technique,Description,Windows Event IDs,Threat Name/Tool/CVE,Question,Answer
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,What events indicate Defender: antivirus not up to date?,The events that indicate 'Defender: antivirus not up to date' include Event ID(s) 1151.
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,Which Event ID(s) should be monitored for Defender: antivirus not up to date?,"To monitor for 'Defender: antivirus not up to date', look for Event ID(s) 1151."
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,Which tools or threats are associated with the technique Antivirus?,The tools or threats associated with Antivirus include nan.
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,What vulnerabilities are related to Antivirus?,The vulnerabilities related to Antivirus include nan.
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,What does it mean when Defender: antivirus not up to date appears in logs?,"When 'Defender: antivirus not up to date' appears in logs, it indicates an occurrence of Event ID(s) 1151 under tactic Antivirus and technique Antivirus."
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,In which scenarios might Defender: antivirus not up to date be detected?,"'Defender: antivirus not up to date' might be detected in scenarios involving the Antivirus technique under the Antivirus tactic, possibly related to threat(s) nan."
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,What behavior indicates the use of Antivirus?,"The behavior indicating the use of Antivirus includes events such as 'Defender: antivirus not up to date', often marked by Event ID(s) 1151."
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,What patterns might signify Antivirus activity?,"Patterns that may signify Antivirus activity include log entries of Event ID(s) 1151, particularly descriptions like 'Defender: antivirus not up to date'."
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,How can an organization respond to detections of Defender: antivirus not up to date?,Organizations can respond to detections of 'Defender: antivirus not up to date' by monitoring Event ID(s) 1151 and implementing mitigations against Antivirus.
Antivirus,Antivirus,Defender: antivirus not up to date,1151,,What preventive actions can reduce the risk of Antivirus?,Preventive actions that can reduce the risk of Antivirus include proactive monitoring for Defender: antivirus not up to date and event ID(s) 1151.
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,What events indicate Defender: massive malware outbreak detected on multiple hosts?,The events that indicate 'Defender: massive malware outbreak detected on multiple hosts' include Event ID(s) 1116.
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,Which Event ID(s) should be monitored for Defender: massive malware outbreak detected on multiple hosts?,"To monitor for 'Defender: massive malware outbreak detected on multiple hosts', look for Event ID(s) 1116."
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,Which tools or threats are associated with the technique Antivirus?,The tools or threats associated with Antivirus include nan.
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,What vulnerabilities are related to Antivirus?,The vulnerabilities related to Antivirus include nan.
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,What does it mean when Defender: massive malware outbreak detected on multiple hosts appears in logs?,"When 'Defender: massive malware outbreak detected on multiple hosts' appears in logs, it indicates an occurrence of Event ID(s) 1116 under tactic Antivirus and technique Antivirus."
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,In which scenarios might Defender: massive malware outbreak detected on multiple hosts be detected?,"'Defender: massive malware outbreak detected on multiple hosts' might be detected in scenarios involving the Antivirus technique under the Antivirus tactic, possibly related to threat(s) nan."
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,What behavior indicates the use of Antivirus?,"The behavior indicating the use of Antivirus includes events such as 'Defender: massive malware outbreak detected on multiple hosts', often marked by Event ID(s) 1116."
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,What patterns might signify Antivirus activity?,"Patterns that may signify Antivirus activity include log entries of Event ID(s) 1116, particularly descriptions like 'Defender: massive malware outbreak detected on multiple hosts'."
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,How can an organization respond to detections of Defender: massive malware outbreak detected on multiple hosts?,Organizations can respond to detections of 'Defender: massive malware outbreak detected on multiple hosts' by monitoring Event ID(s) 1116 and implementing mitigations against Antivirus.
Antivirus,Antivirus,Defender: massive malware outbreak detected on multiple hosts,1116,,What preventive actions can reduce the risk of Antivirus?,Preventive actions that can reduce the risk of Antivirus include proactive monitoring for Defender: massive malware outbreak detected on multiple hosts and event ID(s) 1116.
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,What events indicate Defender: massive malwares detected on a single host?,The events that indicate 'Defender: massive malwares detected on a single host' include Event ID(s) 1116.
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,Which Event ID(s) should be monitored for Defender: massive malwares detected on a single host?,"To monitor for 'Defender: massive malwares detected on a single host', look for Event ID(s) 1116."
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,Which tools or threats are associated with the technique Antivirus?,The tools or threats associated with Antivirus include nan.
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,What vulnerabilities are related to Antivirus?,The vulnerabilities related to Antivirus include nan.
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,What does it mean when Defender: massive malwares detected on a single host appears in logs?,"When 'Defender: massive malwares detected on a single host' appears in logs, it indicates an occurrence of Event ID(s) 1116 under tactic Antivirus and technique Antivirus."
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,In which scenarios might Defender: massive malwares detected on a single host be detected?,"'Defender: massive malwares detected on a single host' might be detected in scenarios involving the Antivirus technique under the Antivirus tactic, possibly related to threat(s) nan."
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,What behavior indicates the use of Antivirus?,"The behavior indicating the use of Antivirus includes events such as 'Defender: massive malwares detected on a single host', often marked by Event ID(s) 1116."
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,What patterns might signify Antivirus activity?,"Patterns that may signify Antivirus activity include log entries of Event ID(s) 1116, particularly descriptions like 'Defender: massive malwares detected on a single host'."
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,How can an organization respond to detections of Defender: massive malwares detected on a single host?,Organizations can respond to detections of 'Defender: massive malwares detected on a single host' by monitoring Event ID(s) 1116 and implementing mitigations against Antivirus.
Antivirus,Antivirus,Defender: massive malwares detected on a single host,1116,,What preventive actions can reduce the risk of Antivirus?,Preventive actions that can reduce the risk of Antivirus include proactive monitoring for Defender: massive malwares detected on a single host and event ID(s) 1116.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,What events indicate Login denied due to account policy restrictions?,The events that indicate 'Login denied due to account policy restrictions' include Event ID(s) 4625.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,Which Event ID(s) should be monitored for Login denied due to account policy restrictions?,"To monitor for 'Login denied due to account policy restrictions', look for Event ID(s) 4625."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,Which tools or threats are associated with the technique T1078.002-Valid accounts-Domain accounts?,The tools or threats associated with T1078.002-Valid accounts-Domain accounts include nan.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,What vulnerabilities are related to T1078.002-Valid accounts-Domain accounts?,The vulnerabilities related to T1078.002-Valid accounts-Domain accounts include nan.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,What does it mean when Login denied due to account policy restrictions appears in logs?,"When 'Login denied due to account policy restrictions' appears in logs, it indicates an occurrence of Event ID(s) 4625 under tactic TA0001-Initial access and technique T1078.002-Valid accounts-Domain accounts."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,In which scenarios might Login denied due to account policy restrictions be detected?,"'Login denied due to account policy restrictions' might be detected in scenarios involving the T1078.002-Valid accounts-Domain accounts technique under the TA0001-Initial access tactic, possibly related to threat(s) nan."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,What behavior indicates the use of T1078.002-Valid accounts-Domain accounts?,"The behavior indicating the use of T1078.002-Valid accounts-Domain accounts includes events such as 'Login denied due to account policy restrictions', often marked by Event ID(s) 4625."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,What patterns might signify T1078.002-Valid accounts-Domain accounts activity?,"Patterns that may signify T1078.002-Valid accounts-Domain accounts activity include log entries of Event ID(s) 4625, particularly descriptions like 'Login denied due to account policy restrictions'."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,How can an organization respond to detections of Login denied due to account policy restrictions?,Organizations can respond to detections of 'Login denied due to account policy restrictions' by monitoring Event ID(s) 4625 and implementing mitigations against T1078.002-Valid accounts-Domain accounts.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login denied due to account policy restrictions,4625,,What preventive actions can reduce the risk of T1078.002-Valid accounts-Domain accounts?,Preventive actions that can reduce the risk of T1078.002-Valid accounts-Domain accounts include proactive monitoring for Login denied due to account policy restrictions and event ID(s) 4625.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,What events indicate Login failure from a single source with a disabled account?,The events that indicate 'Login failure from a single source with a disabled account' include Event ID(s) 33205.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,Which Event ID(s) should be monitored for Login failure from a single source with a disabled account?,"To monitor for 'Login failure from a single source with a disabled account', look for Event ID(s) 33205."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,Which tools or threats are associated with the technique T1078.002-Valid accounts-Domain accounts?,The tools or threats associated with T1078.002-Valid accounts-Domain accounts include nan.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,What vulnerabilities are related to T1078.002-Valid accounts-Domain accounts?,The vulnerabilities related to T1078.002-Valid accounts-Domain accounts include nan.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,What does it mean when Login failure from a single source with a disabled account appears in logs?,"When 'Login failure from a single source with a disabled account' appears in logs, it indicates an occurrence of Event ID(s) 33205 under tactic TA0001-Initial access and technique T1078.002-Valid accounts-Domain accounts."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,In which scenarios might Login failure from a single source with a disabled account be detected?,"'Login failure from a single source with a disabled account' might be detected in scenarios involving the T1078.002-Valid accounts-Domain accounts technique under the TA0001-Initial access tactic, possibly related to threat(s) nan."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,What behavior indicates the use of T1078.002-Valid accounts-Domain accounts?,"The behavior indicating the use of T1078.002-Valid accounts-Domain accounts includes events such as 'Login failure from a single source with a disabled account', often marked by Event ID(s) 33205."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,What patterns might signify T1078.002-Valid accounts-Domain accounts activity?,"Patterns that may signify T1078.002-Valid accounts-Domain accounts activity include log entries of Event ID(s) 33205, particularly descriptions like 'Login failure from a single source with a disabled account'."
